Nome da Música,link,album,letra,artista
Morrer Tanto,/clarice-falcao/morrer-tanto.html,Tem Conserto,"Eu queria tanto Parar de morrer tanto Eu queria tanto Para de morrer Cansa tanto  Nem todo mundo morre por tudo Tem gente que escova dente Dirige carro, arruma mala Põe uma roupa e segue em frente  Feito não doesse Feito fosse fácil Feito fosse isso Feito não morresse  Eu queria tanto Parar de morrer tanto Eu queria tanto Para de morrer Cansa tanto  Nem todo mundo morre por tudo Tem gente que escova dente Dirige carro, arruma mala Põe uma roupa e segue em frente  Feito não doesse Feito fosse fácil Feito fosse isso Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Feito não morresse Eu queria tanto",Clarice Falcão
O After do Fim do Mundo,/clarice-falcao/o-after-do-fim-do-mundo.html,,"O mundo acabou Não foi explosão Foi bem aos poucos, ninguém percebeu E o que sobrou É prorrogação De um jogo que a gente já perdeu  Bem-vindos ao after do after do after do fim do mundo Bem-vindos ao after do after do after do after do after do after do after Bem-vindos ao after do after do after do fim do mundo Bem-vindos ao after do after do after do after do after do after do after  Eu sou a xepa, você é a xepa Eu sou a xepa, você é a xepa Eu sou a xepa, você é a xepa  Me chama, me chama, me chama, me ch-chama  Seu rosto, seu resto, seu rastro Seu gosto, seu gesto, seu gasto Entre tratos e retratos Se desfazem em pedaços Disfarçando os fatos Protegendo fetos E tirando fotos fúteis, fotos fúteis, fotos fúteis, fúteis, fúteis Em festas como essa (fúteis)  Olha em volta, curte o fim Aproveita enquanto acaba (se é que não acabou) Olha em volta, curte o fim Aproveita que estamos fritos, que estamos fritas, deixam-nos  Eu sou a xepa, você é a xepa Eu sou a xepa, você é a xepa Aqui a xepa virou a xepa  Bem-vindos ao after do after do after do fim do mundo Bem-vindos ao after do after do after do after Bem-vindos ao after do after do after do fim do mundo Bem-vindos ao after do after do after do after do after do after do after do after",Clarice Falcão
O Caixa Verde,/clarice-falcao/o-caixa-verde.html,,"Nem tudo que repete-pet-pet-pet É eco-eco, nem todo eco é chato-chato Ou eco é que repete Só que a gente não é eco chato ""xá"" com a gente as caixas de pasta de dente e cereal Que o nosso caixa verde vai te ajudar-a-a-ar  A gente poupa o seu tempo Isso não dá nenhum trabalho  Chega de papelão Ou de plástico Ou outra embalagem qualquer tipo assim Que você não queira levar pra casa  O plástico da caixa do pacote Tira qualquer um do sério-sério Excesso de embalagem só entope o seu armário Melhor deixar no caixa o que você não vai usar O caixa verde é o eco que você queria escutar-a-a-ar  A gente poupa o seu tempo Isso não dá nenhum trabalho  Chega de papelão Ou de plástico Ou outra embalagem qualquer tipo assim Que você não queira levar pra casa-a-a-a a-a-a",Clarice Falcão
O Que Eu Bebi,/clarice-falcao/o-que-eu-bebi.html,Monomania,"O que eu bebi por você dá pra encher um navio E não teve barril que me fez esquecer O que eu bebi por você nunca artista bebeu Nem pirata bebeu, nem ninguém vai beber  O que eu bebi por você quase sempre era ruim E bem antes do fim eu já tava à mercê O que eu bebi por você me fazia tão mal Que já era normal acordar no bidê  Cada dono de boteco e catador de lata agora te sorri agradecido Se o seu plano era contra o meu fígado Meu bem, você foi bem sucedido Parabéns pra você",Clarice Falcão
O Que Você Faz Pra Ser Feliz?,/clarice-falcao/o-que-voce-faz-pra-ser-feliz.html,,"O que faz você feliz? Você feliz o que é que faz? Você faz o que te faz feliz? O que faz você feliz você que faz!  Pra ser feliz Pra ser feliz O que você faz pra ser feliz?  E se a felicidade voa num balão Tão alto onde já não se enxerga mais Mas só ela pode lhe tirar do chão Pra ser feliz o que é que você faz?  A felicidade está por dentro Mas não vai sair no raio-x Você provoca os próprios sentimentos O que você faz pra ser feliz?  Pra ser feliz Pra ser feliz O que você faz pra ser feliz?  Longe, perto, dentro, tanto faz Quem quer felicidade corre atrás E às vezes ela está de baixo do nariz O que você faz pra ser feliz?  Pra ser feliz Pra ser feliz O que você faz pra ser feliz?",Clarice Falcão
Oitavo Andar,/clarice-falcao/oitavo-andar.html,Monomania,"Quando eu te vi fechar a porta Eu pensei em me atirar pela janela do oitavo andar Onde a Dona Maria mora Porque ela me adora e eu sempre posso entrar  Era bem o tempo de você chegar no T Olhar no espelho seu cabelo, falar com o Seu Zé E me ver caindo em cima de você Como uma bigorna cai em cima de um cartoon qualquer  E ai, só nós dois no chão frio De conchinha bem no meio-fio No asfalto riscados de giz Imagina que cena feliz  Quando os paramédicos chegassem E os bombeiros retirassem nossos corpos do Leblon A gente ia para o necrotério Ficar brincando de sério deitadinhos no bem-bom  Cada um feito um picolé Com a mesma etiqueta no pé Na autópsia daria pra ver Como eu só morri por você  Quando eu te vi fechar a porta Eu pensei em me atirar pela janela do oitavo andar Em vez disso eu dei meia-volta E comi uma torta inteira de amora no jantar",Clarice Falcão
Pra Ter o Que Fazer,/clarice-falcao/pra-ter-o-que-fazer.html,,Nada gosta de não fazer nada Todo telefone quer tocar Uma janela é tão infeliz fechada Quanto um carro sempre no mesmo lugar  Um relógio parado não existe Um som sem som tem uma vida ruim O apêndice é o órgão mais triste Por que comigo não vai ser assim?  E aí eu marco três consultas Antes de adoecer E aí eu faço um estardalhaço Só pra ter o que fazer  E eu me complico toda muito Pra depois me resolver E essa história demora horas Só pra ter o que fazer,Clarice Falcão
Qualquer Negócio,/clarice-falcao/qualquer-negocio.html,Monomania,Me deixa ser quem faz o laço Da gravata do mordomo Que te serve o jantar Me deixa ser o suporte Que segura a tela plana Da sua sala no lugar  Me deixa usar o pé pra equilibrar Aquela mesa bamba que você Aposentou há mais de um mês Me deixa ser a sua estátua de jardim O seu cabide de casacos Só não me tira de vez da sua casa  Eu posso ser a empregada Da empregada da empregada Da empregada do seu tio.  Me deixa ser o seu pinguim De geladeira Eu fico uma semana inteira sem mexer Me deixa ser o passarinho do relógio Que de hora em hora pode aparecer Pra eu te ver  Me deixa ser quem passa a calça que você Precisa usar no seu jantar À luz de velas com alguém Me deixa ser quem deixa vocês dois de carro Em um restaurante caro Só não deixa eu ser ninguém na sua vida  Eu posso ser a empregada Da empregada da empregada Da empregada da empregada Da empregada da empregada Da empregada do seu tio.,Clarice Falcão
Robespierre,/clarice-falcao/robespierre.html,,"Agora você vai mudar E é você mesmo que quer Agora você vai mudar E eu sou Robespierre  Agora você vai mudar Vai ser tudo como eu sonhei Agora você vai mudar E eu sou o Sarney  Você diz que amanhã deve ser diferente Só que esse amanhã já foi ontem e anteontem Não que eu conte, meu amor Mas você mente  Agora você vai mudar Agora esse agora é de vez Agora você vai mudar E eu sou um chinês  Agora você vai mudar Mas eu não vou ficar pra ver Agora você vai mudar Parabéns pra você  Você diz que amanhã deve ser diferente Só que esse amanhã já foi ontem e anteontem Não que eu conte, meu amor Mas você mente",Clarice Falcão
Se Esse Bar Fechar,/clarice-falcao/se-esse-bar-fechar.html,Problema Meu,Se esse bar fechar ele não vem Se esse bar fechar mesmo se ele vier Não vai ter mais ninguém Então se vocês me servirem mais uma Por mim tudo bem  Se esse bar fechar eu fico só Se esse bar fechar todos aqui Vão me olhar com a cara de dó Então se vocês me servirem mais uma Por mim é melhor  Eu sei que eu marquei às dez E eu sei que já são três Mas vai que ele se atrasou E quando ele chega eu já fui E a culpa é de vocês  Se esse bar fechar mais um revés Se esse bar fechar pra me tirar Cês vão ter que arrastar pelos pés Então se vocês me servirem mais uma Eu pago mais dez  Se esse bar fechar eu posso ir Se esse bar fechar faz tanto tempo Que eu não consigo dormir Mas se vocês não servirem mais uma Eu quebro isso aqui  Eu sei que eu marquei às dez E eu sei que já são seis Mas vai que ele se atrasou E quando ele chega eu já fui E a culpa é de vocês  Se esse bar fechar Se esse bar fechar,Clarice Falcão
Só + 6,/clarice-falcao/so-6.html,Tem Conserto,"Eu vou tomar mais uma só e vou Eu vou dançar mais uma só e vou Vou esperar nascer o sol e vou Eu só não quero ficar só e vou  Eu vou tomar mais uma só e vou Eu vou dançar mais uma só e vou Vou esperar nascer o sol e vou Eu só não quero ficar só e vou  Só mais seis Depois só mais seis outra vez Se Deus quiser, hoje só acaba amanhã Só mais seis Depois só mais seis outra vez Se Deus quiser, hoje só acaba amanhã  Na boca pro Beco do Rato pro after de alguém Pra casa do amigo do primo de não sei bem quem Pro bloco até esse bloco não ter mais ninguém Sou livre, sou livre, sou livre até ser refém  Na boca pro Beco do Rato pro after de alguém Pra casa do amigo do primo de não sei bem quem Pro bloco até esse bloco não ter mais ninguém Sou livre, sou livre, sou livre até ser refém  Vou esperar nascer o sol e vou Eu só não quero ficar só e vou  Só mais seis Depois só mais seis outra vez Se Deus quiser, hoje só acaba amanhã Só mais seis Depois só mais seis outra vez  Vou esperar nascer o sol e vou Eu só não quero ficar só e vou",Clarice Falcão
Survivor,/clarice-falcao/survivor.html,Regravação de Destiny's Child,"Now that you're out of my life I'm so much better You thought that I'd be weak without you But I'm stronger You thought that I'd be broke without you But I'm richer You thought that I'd be sad without you I laugh harder You thought I wouldn't grow without you Now I'm wiser Though that I'd be helpless without you But I'm smarter You thought that I'd be stressed without you But I'm chillin' You thought I wouldn't sell without you Sold 9 million  Thought I couldn't breathe without you I'm inhaling You thought I couldn't see without you Perfect vision You thought I couldn't last without you But I'm lastin' You thought that I would die without you But I'm livin' You thought that I would fail without you But I'm on top You thought it would be over by now But it won't stop You thought that I would self destruct But I'm still here Even in my years to come I'm still gon' be here  I'm a survivor I'm not gon give up I'm not gon stop I'm gon work harder I'm a survivor I'm gonna make it I will survive Keep on survivin'  Wishin' you the best Pray that you are blessed Bring success, no stress, and lots of happiness I'm better than that I'm not gon blast you on the radio I'm better than that I'm not gon lie to you and your family I'm better than that I'm not gon hate on you in the magazines I'm better than that I'm not gon compromise my Christianity I'm better than that I'm not gon diss you on the internet Cause my mama taught me better than that  I'm a survivor I'm not gon give up I'm not gon stop I'm gon work harder I'm a survivor I'm gonna make it I will survive Keep on survivin'  I'm a survivor I'm not gon give up I'm not gon stop I'm gon work harder I'm a survivor I'm gonna make it I will survive Keep on survivin'  I'm a survivor I'm not gon give up I'm not gon stop I'm gon work harder I'm a survivor I'm gonna make it I will survive Keep on survivin'",Clarice Falcão
Talvez,/clarice-falcao/talvez.html,Monomania,Talvez  Se eu fosse menos louca Se eu não fosse quem soca Desesperadamente sem parar um travesseiro branco  Se eu seguisse em frente Se eu não fosse propícia A visualizar gente rolando do barranco  Quem sabe Você não chamasse a polícia Talvez  Se eu não tivesse um troço Lá dentro da barriga Que eu sinto que está dançando a dança da garrafa  E que nunca se cansa E que é uma girafa Se esse bicho imundo não subisse até o pescoço  Quem sabe Eu não estivesse no fundo do poço Talvez  Se o mundo desfocasse E só se visse a gente E todas as pessoas que sobrassem fossem meros figurantes  Se a vida decidisse Mudar de roteirista E o gênero trocasse de repente num instante  Quem sabe A gente podia ser protagonista Talvez,Clarice Falcão
Tem Conserto,/clarice-falcao/tem-conserto.html,Tem Conserto,"Quem me quebrou Já não importa E se fui eu Peço desculpas A quem já se machucou com os cacos Eu vou limpar Essa bagunça  Tô quebrada, mas tem conserto Não parece, mas tem conserto Tô capenga, mas tem conserto Tá difícil, mas tem conserto  Quem me quebrou Já não importa E se fui eu Peço desculpas A quem já se machucou com os cacos Eu vou limpar Minha bagunça  Tô capenga, mas tem conserto Tá difícil, mas tem conserto Tô capenga, mas tem conserto Tá difícil, mas tem conserto Com um jeitinho aqui tem conserto Não sei como, mas tem conserto Vai que eu sou o meu conserto Dia desses eu me conserto",Clarice Falcão
Um Só,/clarice-falcao/um-so.html,Monomania,Eu pensei direito Fiz uma pesquisa Eu li a respeito E a gente é um só  Eu nos vi no espelho E contei nossos dedos Não fica vermelho A gente é um só  Sem você eu sumo Eu morro de fome Eu perco meu rumo Eu fico menor  Eu tenho o seu gosto E eu sou do seu jeito E a cor do seu rosto Eu já sei de cor  Mas se você planeja Nos partir ao meio Então nem pestaneja E faça sem dó  O meu desespero É que quando acaba Você fica inteiro E eu fico o pó,Clarice Falcão
Uma Canção Sobre Amor,/clarice-falcao/uma-cancao-sobre-amor.html,,"Quando eu te vi fechar a porta Eu pensei em me atirar pela janela do oitavo andar Onde a Dona Maria mora Porque ela me adora e eu sempre posso entrar  Era bem o tempo de você chegar no T Olhar no espelho seu cabelo, falar com o Seu Zé E me ver caindo em cima de você Como uma bigorna cai em cima de um cartoon qualquer  E ai, só nós dois no chão frio De conchinha bem no meio-fio No asfalto riscados de giz Imagina que cena feliz  Quando os paramédicos chegassem E os bombeiros retirassem nossos corpos do Leblon A gente ia para o necrotério Ficar brincando de sério deitadinhos no bem-bom  Cada um feito um picolé Com a mesma etiqueta no pé Na autópsia daria pra ver Como eu só morri por você  Quando eu te vi fechar a porta Eu pensei em me atirar pela janela do oitavo andar Em vez disso eu dei meia-volta E comi uma torta inteira de amora no jantar",Clarice Falcão
Vagabunda,/clarice-falcao/vagabunda.html,Problema Meu,"Nós duas somos apenas figuração No canto da mesma cena de um filme de ação Morrendo discretamente na mesma explosão Nós duas somos efeito colateral De um acidente de trem proposital Que não matou ninguém, mas foi quase fatal Então por que 'cê não vem?  Toma um chopp comigo, vagabunda Que eu sei a vagabunda que eu sou Repara, que conexão profunda De ter compartilhado um mesmo amor  Nós duas somos efeito colateral De um acidente de trem proposital Que não matou ninguém, mas foi quase fatal Nós duas somos apenas figuração No canto da mesma cena de um filme de ação Morrendo discretamente da mesma explosão Então me dá sua mão  Toma um chopp comigo, vagabunda Que eu sei a vagabunda que eu sou Repara, que conexão profunda De ter compartilhado um mesmo amor  Me dá seu telefone, inimiga Que é só você que vai compreender Aquela agonia na barriga Me liga, que eu tô que nem você",Clarice Falcão
Vinheta,/clarice-falcao/vinheta.html,Problema Meu,"Eu olho o telefone, eu guardo Eu olho novamente, eu guardo Eu olho uma terceira vez Vai que tá diferente  Eu paro e ligo pra mim mesma Só pra ver se a minha linha Continua funcionando E continua funcionando  Eu checo as mensagens Sete, oito, vinte vezes Só passou cinco minutos Eu senti passar três meses  Como é mesmo aquela história De e-mail que não chega? Eu lembrei aquela história Que e-mail sempre chega  Você disse que ia ligar Você disse que gostou Meu querido eu só posso pensar...  Que você foi atropelado Levantou cambaleante Deu de cara com um poste E quebrou catorze dentes E aí foi assaltado Por três caras gigantescos E na hora de sair Foi atropelado novamente E acordou com amnésia Em um hospital distante Amor, tomara que você esteja bem",Clarice Falcão
Y.M.C.A.,/clarice-falcao/y-m-c-a.html,Regravação de Village People,"Young man, there's no need to feel down I said, young man, pick yourself off the ground I said, young man, 'cause you're in a new town There's no need to be unhappy  Young man, there's a place you can go I said, young man, when you're short on your dough You can stay there, and I'm sure you will find Many ways to have a good time  It's fun to stay at the Y.M.C.A It's fun to stay at the Y.M.C.A They have everything for you men to enjoy You can hang out with all the boys  It's fun to stay at the Y.M.C.A It's fun to stay at the Y.M.C.A You can get yourself cleaned, you can have a good meal You can do whatever you feel  Young man, I was once in your shoes I said, I was down and out with the blues I felt no man cared if I were alive I felt the whole world was so tight  That's when someone came up to me And said, young man, be what you want to be I said, young man, you can make real your dreams But you got to know this one thing  It's fun to stay at the Y.M.C.A It's fun to stay at the Y.M.C.A They have everything for you men to enjoy You can hang out with all the boys  It's fun to stay at the Y.M.C.A It's fun to stay at the Y.M.C.A You can get yourself cleaned, you can have a good meal You can do whatever you feel",Clarice Falcão
23,/manu-gavassi/23.html,MANU,"Me olha no olho já sabe demais E eu nem escondo eu te mostrei e você faz Um jogo que eu gosto nem preciso pedir Me tira daqui, me tira daqui Eu tiro sua roupa você minha paz E beija minha boca mas quer muito mais Me olha e não sabe o que viu em mim Pra ser livre assim, livre assim Eu não me lembro de um céu tão lindo como esse, amor Eu não me lembro de alguém chegar tão perto, amor Eu não me lembro de uma noite tão brilhante assim Eu só lembro de você e de mim Eu não preciso de você mas eu quero eu quero eu quero Eu não preciso de você mas eu quero, ah, eu quero eu quero Se é errado, erro outra vez Ninguém é maduro com 23 Eu não preciso de você mas eu quero eu quero eu quero",Manu Gavassi
Amo,/manu-gavassi/amo.html,,"Eu amo o seu sorriso, e seu jeito de falar Eu amo quando você me olha, e eu dou risada sem pensar Eu amo quando você me chama para conversar Eu amo quando você vem, e amo mais ainda te esperar  Eu não sei o que fazer Não tem ninguém aqui pra me impedir de te escrever Outra canção pra me fazer entender Que eu te amo tanto e isso todo mundo vê  Eu nunca acreditei que era mesmo pra valer Eu nunca admiti que me importava com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo O que eu faço pra você perceber?  Eu amo o seu sorriso, e seu jeito de falar Eu amo quando você me olha, e eu dou risada sem pensar Eu amo quando você me chama para conversar Eu amo quando você vem, e amo mais ainda te esperar  Eu não sei o que fazer Não tem ninguém aqui pra me impedir de te escrever Outra canção pra me fazer entender Que eu te amo tanto e isso todo mundo vê  Eu nunca acreditei que era mesmo pra valer Eu nunca admiti que me importava com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo  Que hoje eu acredito que é mesmo pra valer Confesso, eu admito que me importo com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo O que eu faço pra você perceber?",Manu Gavassi
Antes do Fim,/manu-gavassi/antes-do-fim.html,MANU,"A gente deixou claro Que não ia passar disso Que não era pra se apaixonar Dois corações cansados, errados O suficiente para não se entregar Mas sempre foi tão fácil É fácil não fazer nada com você De cara amassada De boca fechada Não preciso de mais nada É só você me olhar  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim Se não eu jogo tudo pro ar Se não eu jogo tudo pro ar  Você sorri, eu falo que não é pra passar disso Que eu nunca vou me apaixonar No seu abraço eu paro, me calo Só o suficiente pra não me entregar Mas sei que é tão fácil Foi fácil perder a hora com você Cabelo bagunçado Você do meu lado Dois corpos desenhados pra não desgrudar  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim  Um beijo em minhas costas é poesia Me acostumei com você todo o dia Achando graça do meu sotaque Tem um pouco de você em toda parte Tento esquecer, mas me engano Não fazia parte dos meus planos Querer você aqui, aqui  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim Se não eu jogo tudo pro ar Se não eu jogo tudo pro ar",Manu Gavassi
Ao Ar Livre (Do Filme Valente),/manu-gavassi/ao-ar-livre-do-filme-valente.html,,"Como uma estrela esse amor mostrando o norte seja onde for Amor que queima como o sol uma luz que parece um farol Pois conversar não adiantou são palavras que o vento levou  Esses muros se derrubaram quero sentir meus pés sobre o chão deixar de lado o que atrapalhar para ao ar livre estar  Porque ficou tudo tão ruim? E ainda estamos tão longe do fim E quando o dia se completar será que, enfim, algo bom vai ficar?  Agora os muros se derrubaram! Posso sentir meus pés sobre o chão esse amor nós podemos mostrar E ao ar livre estar Amor que queima como o sol",Manu Gavassi
Aqui Estamos Nós,/manu-gavassi/aqui-estamos-nos.html,MANU,"[Verso 1] Aqui estamos nós Esperando a sensação De perder o juízo E de perder o chão Aqui estamos nós Sem medo de errar Mas com braços tatuados Querendo apagar  [Pré-Refrão] Você não vai roubar meu coração Porque garanto já roubaram antes de você Você não vai me ouvir pedir perdão Quando isso acabar e eu nem perceber  [Refrão] Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh  [Pós-Refrão] Nós somos a geração da solidão Eu finjo que não preciso de aprovação Nós imploramos amor, mas queremos perigo Então me dê a mão e só vem comigo  [Verso 2] Aqui estamos nós Falando sobre a dor Faz parte do meu charme Não acreditar no amor Aqui estamos nós Falando sem saber Pra espantar o tédio Pra tentar entender  [Pré-Refrão] Você não vai roubar meu coração Porque garanto já roubaram antes de você Você não vai me ouvir pedir perdão Quando isso acabar e eu nem perceber  [Refrão] Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh  [Pós-Refrão] Nós somos a geração da solidão Eu finjo que não preciso de aprovação Nós imploramos amor, mas queremos perigo Então me dê a mão e só vem comigo  [Outro] Aqui estamos nós Começando a questionar Se vivemos o momento Ou filmamos pra guardar Aqui estamos nós Tentando não chorar Muito novos pra crescer Muito velhos pra mudar",Manu Gavassi
Áudio de Desculpas,/manu-gavassi/audio-de-desculpas.html,CUTE BUT (still) PSYCHO,"Eu só queria ser normal Mas eu não sou É só puro trauma, confusão e se quiser Te mostro o meu melhor Te mostro o meu pior Te mostro a verdade Que é ser imperfeita e só  Que sonho ser estável Sonho ser amável Que sonho não botar tudo a perder Ser controlável Mas eu sinto demais Me desculpo eu faço errado Ser de verdade tem um preço Eu sempre pago  Eu só queria ser normal Sem ser clichê Não ser emocionalmente dependente de você Por que eu sou sempre assim? Difícil de ficar Difícil de viver sem mim  Desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Me desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Eu só queria menos culpa e mais amor Poder contar, poder falar sobre o que for Controlar meus impulsos Ser menos visceral Fazer mais sentido me faria menos mal  Eu só queria ser normal Sem ser clichê Não ser emocionalmente dependente de você Por que eu sou sempre assim? Difícil de ficar Difícil de viver sem mim  Desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Me desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  (Desculpa se eu errei com você) (Desculpa se eu gritei com você)",Manu Gavassi
Caminho de Volta,/manu-gavassi/caminho-de-volta.html,Clichê Adolescente,"Voe pro mundo que te espera hoje à noite Conheça tudo o que sempre sonhou Ouvi dizer que Porto Alegre faz frio Mas foi lá onde começou  Voe pra longe, vou ficar esperando E me lembrando enquanto olho pro céu Que em Salvador eu descobri que seu coração é de papel  Siga o seu caminho sem pensar Mas lembre onde eu vou estar, agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho de volta  Voe pro mundo que te espera hoje a noite Veja os sorrisos ansiosos outra vez Foi no Rio que eu descobri que a sua falta é mais do que eu imaginei  E se a distância me fizer esquecer Se olhar pro céu e de repente não te encontrar Feche os olhos e eu sei que meu futuro é onde você está  Siga o seu caminho sem pensar Mas lembre onde eu vou estar agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho...  Siga os seus sonhos e volte pra mim O mundo espera por nós, eu posso ouvir E quando nada fizer mais sentido, eu ainda vou estar aqui  Siga o seu caminho sem pensar Mas lembre onde eu vou estar, agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho de volta",Manu Gavassi
Camiseta,/manu-gavassi/camiseta.html,Vício - EP,"Olho para o céu tentando me acostumar A voltar pra casa sem você, só com o mar Meu amor quem foi que congelou seu coração Algum tempo atrás você faria uma canção  Mas você me deixou só com a sua camiseta Pra lembrar do amor Pra lembrar do amor  Eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta E depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar sem mim  Como dois estranhos nessa cidade sem ninguém Você era meu chão e tudo o que eu mais precisei E agora você vem dizer que o tempo vai ajudar Pega sua moto, vem me ver e para de chorar  Mas você me deixou só com a sua camiseta Pra lembrar do amor E eu vou usar, amor  Eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar... sem mim  Mas agora eu mudei amor Tudo o que passamos juntos só eu sei O tempo veio e levou você Mas a sua camiseta eu não vou devolver Você disfarçou bem Eu sei que homem não fica sem ninguém, então Eu vou me divertir e não me leve a sério Quando eu te disser que  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar... sem mim",Manu Gavassi
Cansei de Você,/manu-gavassi/cansei-de-voce.html,Manu Gavassi,"Eu sabia que esse dia ia chegar Eu tô rindo sem saber o que falar Suas palavras já não fazem disparar meu coração O que aconteceu? Eu já nem sei se eu dou risada ou sinto dó Antigamente minha garganta dava um nó Cada segundo só me prova que acabou Me diz então o que aconteceu?  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer Desculpa eu cansei de você!  Você se declara e isso já virou normal E eu dou risada sabe pra não pegar mal Eu já nem reparo muito no que você diz Agora eu sei o que aconteceu Você acha que eu ainda gosto de você Como eu acho um jeito educado de dizer Que eu tô em outra e meu bem não é você Agora eu sei o que aconteceu Não precisa nem se preocupar porque não vai adiantar  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer Desculpa eu cansei de você",Manu Gavassi
Canta Comigo,/manu-gavassi/canta-comigo.html,Manu Gavassi,"Sempre que eu tento te falar Você está longe demais para me ouvir, longe de mim E não tem como te encontrar, você jamais olha pra trás Você quer seguir, distante assim  Se o amor fosse uma canção, você cantaria? Eu escrevi essa melodia pra você, então canta comigo:  {Refrão}  Ouooow, como eu queria ter você de volta Ouooow, você e eu e nada mais importa Ouooow, será que tem que acabar assim? Ouooow, queria um pouco de você pra mim  Eu esqueci das nossas músicas Agora o som do teu silêncio quer calar, a minha voz ( a minha voz )  Será que eu fui longe demais? Será que eu deixei você com o pé atrás, como sempre fiz?  Se o amor fosse uma canção você cantaria? Eu escrevi essa melodia pra você, então canta comigo:  {Refrão}  Ouooow, como eu queria ter você de volta Ouooow, você e eu e nada mais importa Ouooow, será que tem que acabar assim? Ouooow, queria um pouco de você pra mim  Pra mim...",Manu Gavassi
